,Player,Runs,Balls,4s,6s,SR,,Team,Opposition,Ground,Match Date,Scorecard
0,UT Yadav,31,10,0,5,310.00,,India,v South Africa,Ranchi,19 Oct 2019,Test # 2365
1,SP Fleming,31*,11,6,1,281.81,,New Zealand,v South Africa,Auckland,18 Mar 2004,Test # 1689
2,RJ Harris,25,9,5,0,277.77,,Australia,v India,Sydney,6 Jan 2015,Test # 2156
3,M Muralidaran,29,11,3,2,263.63,,Sri Lanka,v India,Kanpur,24 Nov 2009,Test # 1935
4,KD Boyce,26,10,3,2,260.00,,West Indies,v England,Port of Spain,2 Feb 1974,Test # 731
5,NAM McLean,31,12,0,4,258.33,,West Indies,v South Africa,Gqeberha,10 Dec 1998,Test # 1433
6,Abdur Razzak,43,17,5,3,252.94,,Bangladesh,v Zimbabwe,Harare,4 Aug 2011,Test # 2002
7,UT Yadav,25*,10,1,3,250.00,,India,v Bangladesh,Indore,14 Nov 2019,Test # 2366
8,MM Ali,43,18,3,5,238.88,,England,v India,Chennai,13 Feb 2021,Test # 2411
9,WP Howell,35,15,6,1,233.33,,Australia,v England,Sydney,14 Feb 1902,Test # 68
10,DJG Sammy,25,11,1,3,227.27,,West Indies,v India,Kingston,20 Jun 2011,Test # 1997
11,GO Jones,27*,12,2,2,225.00,,England,v Australia,Manchester,11 Aug 2005,Test # 1760
12,P Kumar,40,18,5,3,222.22,,India,v England,Birmingham,10 Aug 2011,Test # 2003
13,C de Grandhomme,33*,15,0,4,220.00,,New Zealand,v Bangladesh,Christchurch,20 Jan 2017,Test # 2248
14,JH Kallis,54,25,3,5,216.00,,South Africa,v Zimbabwe,Cape Town,4 Mar 2005,Test # 1737
15,DA Warner,30,14,5,1,214.28,,Australia,v South Africa,Cape Town,22 Mar 2018,Test # 2300
16,MA Holding,32,15,5,1,213.33,,West Indies,v England,The Oval,12 Aug 1976,Test # 781
17,TG Southee,48,23,5,3,208.69,,New Zealand,v Australia,Wellington,12 Feb 2016,Test # 2201
18,DW Steyn,58,28,6,5,207.14,,South Africa,v West Indies,Gqeberha,26 Dec 2014,Test # 2153
19,Shahid Afridi,31,15,4,2,206.66,,Pakistan,v Australia,Lord's,13 Jul 2010,Test # 1963
20,Harbhajan Singh,37,18,4,3,205.55,,India,v Zimbabwe,Bulawayo,13 Sep 2005,Test # 1765
21,DA Warner,55,27,8,3,203.70,,Australia,v Pakistan,Sydney,3 Jan 2017,Test # 2245
22,BA Stokes,32,16,3,2,200.00,,England,v Australia,Sydney,3 Jan 2014,Test # 2113
23,Shoaib Akhtar,28,14,4,2,200.00,,Pakistan,v India,Rawalpindi,13 Apr 2004,Test # 1697
24,ST Clarke,35*,18,1,4,194.44,,West Indies,v Pakistan,Faisalabad,8 Dec 1980,Test # 888
25,JJ Bumrah,31*,16,4,2,193.75,,India,v England,Birmingham,1 Jul 2022,Test # 2470
26,TG Southee,77*,40,4,9,192.50,,New Zealand,v England,Napier,22 Mar 2008,Test # 1868
27,AD Mathews,25*,13,2,2,192.30,,Sri Lanka,v Pakistan,Galle,6 Aug 2014,Test # 2133
28,IVA Richards,110*,58,7,7,189.65,,West Indies,v England,St John's,11 Apr 1986,Test # 1045
29,SM Pollock,36*,19,4,2,189.47,,South Africa,v Pakistan,Cape Town,2 Jan 2003,Test # 1637
30,BC Lara,30,16,6,1,187.50,,West Indies,v India,Georgetown,17 Apr 1997,Test # 1365
31,SCJ Broad,28,15,5,1,186.66,,England,v Sri Lanka,Galle,26 Mar 2012,Test # 2038
32,M Muralidaran,26,14,4,1,185.71,,Sri Lanka,v New Zealand,Dunedin,7 Mar 1997,Test # 1358
33,BB McCullum,145,79,21,6,183.54,,New Zealand,v Australia,Christchurch,20 Feb 2016,Test # 2202
34,S Shillingford,53*,29,3,5,182.75,,West Indies,v New Zealand,Kingston,8 Jun 2014,Test # 2123
35,MA Wood,42,23,2,5,182.60,,England,v South Africa,Gqeberha,16 Jan 2020,Test # 2380
36,TG Southee,45,25,7,1,180.00,,New Zealand,v Australia,Hamilton,27 Mar 2010,Test # 1957
37,SPD Smith,36*,20,5,0,180.00,,Australia,v South Africa,Cape Town,1 Mar 2014,Test # 2122
38,N Wagner,27,15,6,0,180.00,,New Zealand,v England,Leeds,24 May 2013,Test # 2089
39,Al-Amin Hossain,32*,18,1,4,177.77,,Bangladesh,v Sri Lanka,Mirpur,27 Jan 2014,Test # 2116
40,MA Wood,32*,18,4,1,177.77,,England,v Australia,Cardiff,8 Jul 2015,Test # 2170
41,Misbah-ul-Haq,101*,57,11,5,177.19,,Pakistan,v Australia,Abu Dhabi,30 Oct 2014,Test # 2142
42,IDS Smith,30,17,6,0,176.47,,New Zealand,v Sri Lanka,Kandy,9 Mar 1984,Test # 980
43,SCJ Broad,37,21,5,1,176.19,,England,v India,The Oval,15 Aug 2014,Test # 2137
44,CL Hooper,28,16,3,2,175.00,,West Indies,v India,Wankhede,18 Nov 1994,Test # 1274
45,MA Starc,28*,16,3,1,175.00,,Australia,v New Zealand,Perth,13 Nov 2015,Test # 2187
46,RR Pant,28,16,4,1,175.00,,India,v Australia,Adelaide,6 Dec 2018,Test # 2333
47,CL Cairns,82,47,10,4,174.46,,New Zealand,v England,Lord's,20 May 2004,Test # 1700
48,CH Gayle,80*,46,7,6,173.91,,West Indies,v New Zealand,Port of Spain,16 Jun 2014,Test # 2125
49,IDS Smith,33*,19,5,0,173.68,,New Zealand,v England,Wellington,3 Mar 1988,Test # 1094
50,AC Gilchrist,102*,59,12,4,172.88,,Australia,v England,Perth,14 Dec 2006,Test # 1821
51,Yousuf Youhana,50,29,6,2,172.41,,Pakistan,v South Africa,Cape Town,2 Jan 2003,Test # 1637
52,SJ Harmison,31*,18,5,1,172.22,,England,v West Indies,Birmingham,29 Jul 2004,Test # 1708
53,Shahid Afridi,58,34,8,2,170.58,,Pakistan,v India,Bengaluru,24 Mar 2005,Test # 1743
54,Aamer Sohail,29*,17,5,0,170.58,,Pakistan,v England,The Oval,22 Aug 1996,Test # 1332
55,A Flintoff,75,44,9,2,170.45,,England,v New Zealand,Wellington,21 Mar 2002,Test # 1596
56,Aamer Sohail,46,27,11,0,170.37,,Pakistan,v Zimbabwe,Bulawayo,7 Feb 1995,Test # 1288
57,IVA Richards,34,20,4,2,170.00,,West Indies,v England,Port of Spain,7 Mar 1986,Test # 1039
58,SR Clark,39,23,3,2,169.56,,Australia,v England,Brisbane,23 Nov 2006,Test # 1817
59,IVA Richards,61,36,5,4,169.44,,West Indies,v India,Kingston,23 Feb 1983,Test # 949
60,JA Burns,66,39,8,3,169.23,,Australia,v India,Sydney,6 Jan 2015,Test # 2156
61,R Clarke,27,16,0,1,168.75,,England,v Bangladesh,Chattogram,29 Oct 2003,Test # 1667
62,TG Southee,40,24,6,1,166.66,,New Zealand,v England,Leeds,29 May 2015,Test # 2163
63,BL Cairns,30,18,1,3,166.66,,New Zealand,v West Indies,Dunedin,8 Feb 1980,Test # 873
64,G Gambhir,30*,18,6,0,166.66,,India,v New Zealand,Hamilton,18 Mar 2009,Test # 1915
65,GA Gooch,33,20,7,0,165.00,,England,v South Africa,The Oval,18 Aug 1994,Test # 1266
66,IT Botham,59*,36,8,2,163.88,,England,v New Zealand,The Oval,21 Aug 1986,Test # 1051
67,Abdur Rehman,36,22,3,3,163.63,,Pakistan,v Sri Lanka,Colombo (SSC),30 Jun 2012,Test # 2047
68,Mohammad Ashraful,67,41,12,2,163.41,,Bangladesh,v India,Mirpur,25 May 2007,Test # 1833
69,RA Jadeja,26,16,6,0,162.50,,India,v New Zealand,Wellington,14 Feb 2014,Test # 2120
70,BL Cairns,34,21,3,2,161.90,,New Zealand,v Australia,Auckland,12 Mar 1982,Test # 924
71,DL Haynes,34,21,4,1,161.90,,West Indies,v India,Kingston,23 Feb 1983,Test # 949
72,N Kapil Dev,89,55,13,3,161.81,,India,v England,Lord's,10 Jun 1982,Test # 928
73,JM Bairstow,71*,44,8,3,161.36,,England,v New Zealand,Leeds,23 Jun 2022,Test # 2467
74,RR Pant,50,31,7,2,161.29,,India,v Sri Lanka,Bengaluru,12 Mar 2022,Test # 2456
75,AI Kallicharran,29*,18,1,2,161.11,,West Indies,v England,Nottingham,3 Jun 1976,Test # 777
76,DE Malcolm,29,18,3,2,161.11,,England,v Australia,Sydney,1 Jan 1995,Test # 1281
77,CG Greenidge,37,23,6,0,160.86,,West Indies,v England,Port of Spain,7 Mar 1986,Test # 1039
78,PSP Handscomb,40*,25,5,0,160.00,,Australia,v Pakistan,Sydney,3 Jan 2017,Test # 2245
79,BL Cairns,32,20,1,4,160.00,,New Zealand,v England,The Oval,14 Jul 1983,Test # 957
80,SM Pollock,32*,20,3,2,160.00,,South Africa,v New Zealand,Johannesburg,5 May 2006,Test # 1801
81,ST Jayasuriya,89,56,11,4,158.92,,Sri Lanka,v Bangladesh,Colombo (SSC),6 Sep 2001,Test # 1561
82,APF Chapman,27,17,4,0,158.82,,England,v Australia,Brisbane,30 Nov 1928,Test # 176
83,AM Rahane,27*,17,4,1,158.82,,India,v South Africa,Visakhapatnam,2 Oct 2019,Test # 2363
84,SN Thakur,57,36,7,3,158.33,,India,v England,The Oval,2 Sep 2021,Test # 2433
85,MM Ali,38,24,7,1,158.33,,England,v Australia,Nottingham,6 Aug 2015,Test # 2175
86,TA Boult,38,24,5,1,158.33,,New Zealand,v India,Wellington,21 Feb 2020,Test # 2385
87,MA Starc,68*,43,9,2,158.13,,Australia,v South Africa,Perth,30 Nov 2012,Test # 2064
88,BRM Taylor,49,31,10,0,158.06,,Zimbabwe,v Pakistan,Harare,7 May 2021,Test # 2421
89,Tamim Iqbal,30,19,5,1,157.89,,Bangladesh,v New Zealand,Hamilton,15 Feb 2010,Test # 1953
90,C de Grandhomme,71*,45,6,2,157.77,,New Zealand,v Sri Lanka,Christchurch,26 Dec 2018,Test # 2336
91,AR Patel,41*,26,3,4,157.69,,India,v New Zealand,Wankhede,3 Dec 2021,Test # 2438
92,Umar Akmal,52,33,6,2,157.57,,Pakistan,v New Zealand,Wellington,3 Dec 2009,Test # 1938
93,N Wagner,66*,42,8,4,157.14,,New Zealand,v West Indies,Wellington,11 Dec 2020,Test # 2395
94,MP Bowden,25,16,5,0,156.25,,England,v South Africa,Cape Town,25 Mar 1889,Test # 32
95,GE Tribe,25*,16,5,0,156.25,,Australia,v England,Sydney,13 Dec 1946,Test # 280
96,V Sehwag,25,16,5,0,156.25,,India,v Sri Lanka,Colombo (SSC),23 Jul 2008,Test # 1882
97,Taslim Arif,31,20,5,0,155.00,,Pakistan,v Australia,Lahore,18 Mar 1980,Test # 879
98,MR Marsh,40,26,4,3,153.84,,Australia,v India,Adelaide,9 Dec 2014,Test # 2148
99,M Muralidaran,43,28,5,3,153.57,,Sri Lanka,v Australia,Kandy,16 Mar 2004,Test # 1688
100,SCJ Broad,43,28,2,4,153.57,,England,v South Africa,Johannesburg,24 Jan 2020,Test # 2382
101,RC Fredericks,46,30,6,1,153.33,,West Indies,v Australia,Brisbane,28 Nov 1975,Test # 764
102,Mushfiqur Rahim,46,30,4,2,153.33,,Bangladesh,v Zimbabwe,Chattogram,12 Nov 2014,Test # 2145
103,BA Stokes,72,47,7,3,153.19,,England,v South Africa,Cape Town,3 Jan 2020,Test # 2379
104,SB Doull,26,17,4,1,152.94,,New Zealand,v Pakistan,Lahore,21 Nov 1996,Test # 1339
105,Shoriful Islam,26,17,5,0,152.94,,Bangladesh,v West Indies,Gros Islet,24 Jun 2022,Test # 2468
106,VRV Singh,29,19,6,0,152.63,,India,v South Africa,Johannesburg,15 Dec 2006,Test # 1823
107,C de Grandhomme,32,21,6,0,152.38,,New Zealand,v Pakistan,Hamilton,25 Nov 2016,Test # 2237
108,KP Pietersen,42*,28,4,2,150.00,,England,v Sri Lanka,Colombo (PSS),3 Apr 2012,Test # 2039
109,RR Pant,39,26,7,0,150.00,,India,v Sri Lanka,Bengaluru,12 Mar 2022,Test # 2456
110,CH Gayle,33,22,6,1,150.00,,West Indies,v Pakistan,Kingston,3 Jun 2005,Test # 1754
111,GAR Lock,30,20,7,0,150.00,,England,v Australia,Leeds,6 Jul 1961,Test # 509
112,SB Joshi,27,18,4,1,150.00,,India,v Zimbabwe,Nagpur,25 Nov 2000,Test # 1517
