,Runs,Player,Match,Venue,Year
0,173,DCS Compton (278),Eng v Pak,Nottingham,1954
1,150,WR Hammond (334*),Eng v NZ,Auckland,1932-33
2,127,SJ McCabe (232),Aus v Eng,Nottingham,1938
3,126,S Dhawan (190),Ind v SL,Galle,2017
4,121,R Benaud (121),Aus v WI,Kingston,1954-55
5,115,DG Bradman (334),Aus v Eng,Leeds,1930
6,114,FMM Worrell (261),WI  v Eng,Nottingham,1950
7,112,JM Gregory (119,Aus v SA,Johannesburg,1921-22
8,110,PR Umrigar (172*),Ind v Wi,Port of Spain,1961-62
9,110,MC Cowdrey (159),Eng v Pak,Birmingham,1962
10,109,V Sehwag (254),Ind v Pak,Lahore,2005-06
11,108,V Sehwag (319),Ind v SA,Chennai,2007-08
12,107,DG Bradman (244),Aus v Eng,The Oval,1934
13,106,DW Hookes (143*),Aus v SL,Kandy,1982-83
14,106,S Dhawan (187),Ind v Aus,Mohali,2012-13
15,105,PA de Silva (206),SL v Ban,Colombo (PSS ),2002-03
16,105,ML Hayden (380),Aus v Zim,Perth,2003-04 (3)
17,103,GS Sobers (174),WI v Eng,Leeds,1966
18,103,M Azharuddin (179),Ind v.Eng,Manchester,1990
19,103,TM Dilshan (168),SL v Ban,Colombo (PSS),2005-06
20,101,L Vincent (224),NZ  v SL,Wellington,2004-05
21,100,KR Stackpole (134),Aus v SA,Cape Town,1966-67
22,100,KD Walters (112),Aus v WI,Port of Spain,1972-73
23,100,AC Gilchrist  (113*),Aus v Zim,Perth,2003-04 (3)
24,100,Mushfiqur Rahim (101),Ban v Ind,Chittagong,2009-10
25,100,AB de Villiers (278),SA v Pak,Abu Dhabi,2010-11
