,Player,Mat,Inns,NO,Runs,HS,Ave,100,50,0,200s
0,DG Bradman (AUS),5,7,0,974,334,139.14,4,0,0,3
1,WR Hammond (ENG),2,2,1,563,336*,563.00,2,0,0,2
2,TT Samaraweera (SL),2,3,1,469,231,234.50,2,0,0,2
3,KC Sangakkara (SL),3,3,2,428,222*,428.00,2,0,0,2
4,BB McCullum (NZ),2,4,0,535,302,133.75,2,0,0,2
5,DG Bradman (AUS),5,5,1,806,299*,201.50,4,0,0,2
6,MJ Clarke (AUS),3,5,1,576,259*,144.00,2,0,0,2
7,V Kohli (INDIA),3,5,1,610,243,152.50,3,1,1,2
8,MH Mankad (INDIA),4,5,0,526,231,105.20,2,0,0,2
9,MJ Clarke (AUS),4,6,1,626,329*,125.20,2,0,0,2
10,IVA Richards (WI),4,7,0,829,291,118.42,3,2,0,2
11,DG Bradman (AUS),5,8,0,758,304,94.75,2,1,0,2
12,CG Greenidge (WI),5,8,1,572,223,81.71,2,0,0,2
13,RT Ponting (AUS),4,8,1,706,257,100.85,2,2,1,2
14,GM Turner (NZ),5,8,1,672,259,96.00,2,2,0,2
15,DG Bradman (AUS),5,9,0,810,270,90.00,3,1,2,2
16,WR Hammond (ENG),5,9,1,905,251,113.12,4,0,0,2
17,GC Smith (SA),5,9,0,714,277,79.33,2,1,0,2
