,Player,Year,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0
0,Mohammad Yousuf (PAK),2006,11,19,1,1788,202,99.33,2854,62.64,9,3,1
1,RT Ponting (AUS),2006,10,18,3,1333,196,88.86,2193,60.78,7,4,0
2,IVA Richards (WI),1976,11,19,0,1710,291,90.00,1584+,72.85*,7,5,0
3,PA de Silva (SL),1997,11,19,3,1220,168,76.25,2075,58.79,7,2,2
4,SR Tendulkar (INDIA),2010,14,23,3,1562,214,78.10,2794,55.90,7,5,0
5,DCS Compton (ENG),1947,9,15,1,1159,208,82.78,972+,37.86*,6,3,0
6,ML Hayden (AUS),2002,11,17,1,1160,197,72.50,1877,61.80,6,3,1
7,RT Ponting (AUS),2003,11,18,3,1503,257,100.20,2494,60.26,6,4,1
8,TM Dilshan (SL),2009,11,18,1,1097,162,64.52,1327,82.66,6,1,2
9,DA Warner (AUS),2014,9,18,0,1136,145,63.11,1387,81.90,6,3,1
10,JH Kallis (SA),2010,11,19,4,1198,201*,79.86,2218,54.01,6,2,0
11,JM Bairstow (ENG),2022,10,19,3,1061,162,66.31,1396,76.00,6,1,2
12,Younis Khan (PAK),2014,10,20,3,1213,213,71.35,2217,54.71,6,2,1
13,SPD Smith (AUS),2017,11,20,3,1305,239,76.76,2573,50.71,6,3,0
14,SPD Smith (AUS),2015,13,24,4,1474,215,73.70,2374,62.08,6,5,0
15,GC Smith (SA),2008,15,25,2,1656,232,72.00,2516,65.81,6,6,1
16,MP Vaughan (ENG),2002,14,26,2,1481,197,61.70,2422,61.14,6,2,3
17,DR Martyn (AUS),2004,14,26,2,1353,161,56.37,2603,51.97,6,5,1
18,RT Ponting (AUS),2005,15,28,5,1544,207,67.13,2518,61.31,6,6,1
19,JE Root (ENG),2021,15,29,1,1708,228,61.00,3004,56.85,6,4,1
20,CL Walcott (WI),1955,5,10,0,827,155,82.70,-,-,5,2,0
21,DPMD Jayawardene (SL),2007,8,11,1,982,213*,98.20,1777,55.26,5,1,1
22,IR Bell (ENG),2011,8,11,3,950,235,118.75,1484,64.01,5,2,1
23,GS Sobers (WI),1958,8,12,3,1193,365*,132.55,0+,-,5,3,0
24,H Sutcliffe (ENG),1929,7,13,1,772,135,64.33,247+,32.79*,5,1,0
25,DG Bradman (AUS),1948,8,13,4,1025,201,113.88,1868,54.87,5,2,2
26,KD Walters (AUS),1969,8,13,1,909,242,75.75,778+,59.51*,5,3,1
27,WR Hammond (ENG),1929,7,14,3,922,188,83.81,1119+,31.27*,5,1,1
28,RT Ponting (AUS),2002,11,16,1,1064,154,70.93,1553,68.51,5,2,0
29,KS Williamson (NZ),2015,8,16,3,1172,242*,90.15,1955,59.94,5,4,1
30,V Kohli (INDIA),2017,10,16,2,1059,243,75.64,1389,76.24,5,1,2
31,BC Lara (ICC/WI),2005,9,17,0,1110,226,65.29,1673,66.34,5,0,1
32,JH Kallis (SA),2007,9,17,3,1210,186,86.42,2319,52.17,5,6,1
33,SPD Smith (AUS),2014,9,17,3,1146,192,81.85,1913,59.90,5,4,2
34,MJ Clarke (AUS),2012,11,18,3,1595,329*,106.33,2418,65.96,5,3,0
35,AR Border (AUS),1986,11,19,3,1000,140,62.50,2320,43.10,5,3,0
36,SR Tendulkar (INDIA),1999,10,19,3,1088,217,68.00,1928,56.43,5,4,3
37,BC Lara (WI),2003,10,19,1,1344,209,74.66,2129,63.12,5,5,0
38,HM Amla (SA),2010,11,19,3,1249,253*,78.06,2354,53.05,5,4,0
39,KP Pietersen (ENG),2008,12,20,0,1015,152,50.75,1699,59.74,5,1,0
40,ML Hayden (AUS),2003,12,21,4,1312,380,77.17,1734,75.66,5,3,0
41,JH Kallis (SA),2004,11,21,5,1288,162,80.50,2540,50.70,5,7,2
42,D Elgar (SA),2017,12,21,0,1128,199,53.71,2218,50.85,5,4,1
43,DL Amiss (ENG),1974,13,22,2,1379,262*,68.95,3126,44.11,5,3,0
44,JE Root (ENG),2022,12,22,3,973,176,51.21,1575,61.77,5,1,2
45,R Dravid (INDIA),2011,12,23,3,1145,146*,57.25,2559,44.74,5,4,0
46,AN Cook (ENG),2010,14,24,2,1287,235*,58.50,2350,54.76,5,4,0
47,V Kohli (INDIA),2018,13,24,0,1322,153,55.08,2433,54.33,5,5,2
48,ML Hayden (AUS),2001,14,25,3,1391,203,63.22,2213,62.85,5,5,2
49,V Sehwag (INDIA),2010,14,25,2,1422,173,61.82,1566,90.80,5,8,2
50,GR Viswanath (INDIA),1979,18,26,2,1388,179,57.83,2054+,46.20*,5,6,0
51,R Dravid (INDIA),2002,16,26,3,1357,217,59.00,3237,41.92,5,5,0
52,SM Gavaskar (INDIA),1979,18,27,1,1555,221,59.80,2433+,47.43*,5,8,0
53,DB Vengsarkar (INDIA),1979,18,27,4,1174,146*,51.04,2390+,35.48*,5,6,5
54,JL Langer (AUS),2004,14,27,0,1481,215,54.85,2697,54.91,5,4,2
55,ML Hayden (AUS),2005,15,29,3,1380,138,53.07,2550,54.11,5,4,2
56,SM Gavaskar (INDIA),1983,18,32,4,1310,236*,46.78,1098+,50.27*,5,5,3
