,Player,1st,2nd,Runs,,Team,Opposition,Ground,Match Date,Scorecard
0,LG Rowe,214,100*,314,,West Indies,v New Zealand,Kingston,16 Feb 1972,Test # 693
1,RE Foster,287,19,306,,England,v Australia,Sydney,11 Dec 1903,Test # 78
2,Yasir Hameed,170,105,275,,Pakistan,v Bangladesh,Karachi,20 Aug 2003,Test # 1655
3,KR Mayers,40,210*,250,,West Indies,v Bangladesh,Chattogram,3 Feb 2021,Test # 2407
4,DP Conway,200,23,223,,New Zealand,v England,Lord's,2 Jun 2021,Test # 2422
5,JA Rudolph,222*,-,222,,South Africa,v Bangladesh,Chattogram,24 Apr 2003,Test # 1640
6,KS Ranjitsinhji,62,154*,216,,England,v Australia,Manchester,16 Jul 1896,Test # 51
7,MS Sinclair,214,-,214,,New Zealand,v West Indies,Wellington,26 Dec 1999,Test # 1478
8,KC Wessels,162,46,208,,Australia,v England,Brisbane,26 Nov 1982,Test # 939
9,Umar Akmal,129,75,204,,Pakistan,v New Zealand,Dunedin,24 Nov 2009,Test # 1934
10,DSBP Kuruppu,201*,-,201,,Sri Lanka,v New Zealand,Colombo (CCC),16 Apr 1987,Test # 1074
11,A Jackson,164,36,200,,Australia,v England,Adelaide,1 Feb 1929,Test # 179
12,CG Greenidge,93,107,200,,West Indies,v India,Bengaluru,22 Nov 1974,Test # 745
13,PA Gibb,93,106,199,,England,v South Africa,Johannesburg,24 Dec 1938,Test # 267
14,GA Headley,21,176,197,,West Indies,v England,Bridgetown,11 Jan 1930,Test # 187
15,AJ Strauss,112,83,195,,England,v New Zealand,Lord's,20 May 2004,Test # 1700
16,G Gunn,119,74,193,,England,v Australia,Sydney,13 Dec 1907,Test # 96
17,Javed Miandad,163,25*,188,,Pakistan,v New Zealand,Lahore,9 Oct 1976,Test # 782
18,F du Plessis,78,110*,188,,South Africa,v Australia,Adelaide,22 Nov 2012,Test # 2061
19,S Dhawan,187,-,187,,India,v Australia,Mohali,14 Mar 2013,Test # 2081
20,Fawad Alam,16,168,184,,Pakistan,v Sri Lanka,Colombo (PSS),12 Jul 2009,Test # 1924
21,Azhar Mahmood,128*,50*,178,,Pakistan,v South Africa,Rawalpindi,6 Oct 1997,Test # 1380
22,RG Sharma,177,-,177,,India,v West Indies,Kolkata,6 Nov 2013,Test # 2101
23,SB Styris,107,69*,176,,New Zealand,v West Indies,St George's,28 Jun 2002,Test # 1608
24,HL Collins,70,104,174,,Australia,v England,Sydney,17 Dec 1920,Test # 135
25,HD Rutherford,171,-,171,,New Zealand,v England,Dunedin,6 Mar 2013,Test # 2077
26,JDS Neesham,33,137*,170,,New Zealand,v India,Wellington,14 Feb 2014,Test # 2120
27,SS Iyer,105,65,170,,India,v New Zealand,Kanpur,25 Nov 2021,Test # 2435
28,C Bannerman,165*,4,169,,Australia,v England,Melbourne,15 Mar 1877,Test # 1
29,Khalid Ibadulla,166,3,169,,Pakistan,v Australia,Karachi,24 Oct 1964,Test # 569
30,MJ Clarke,151,17,168,,Australia,v India,Bengaluru,6 Oct 2004,Test # 1713
31,BM Laird,92,75,167,,Australia,v West Indies,Brisbane,1 Dec 1979,Test # 862
32,MJ Hartigan,48,116,164,,Australia,v England,Adelaide,10 Jan 1908,Test # 98
33,AN Cook,60,104*,164,,England,v India,Nagpur,1 Mar 2006,Test # 1785
34,RE Redmond,107,56,163,,New Zealand,v Pakistan,Auckland,16 Feb 1973,Test # 713
35,AC Hudson,163,0,163,,South Africa,v West Indies,Bridgetown,18 Apr 1992,Test # 1188
36,DL Houghton,121,41*,162,,Zimbabwe,v India,Harare,18 Oct 1992,Test # 1197
37,WG Grace,152,9*,161,,England,v Australia,The Oval,6 Sep 1880,Test # 4
38,ME Waugh,138,23,161,,Australia,v England,Adelaide,25 Jan 1991,Test # 1161
39,CH Lloyd,82,78*,160,,West Indies,v India,Brabourne,13 Dec 1966,Test # 610
40,IJL Trott,41,119,160,,England,v Australia,The Oval,20 Aug 2009,Test # 1931
41,Fakhar Zaman,94,66,160,,Pakistan,v Australia,Abu Dhabi,16 Oct 2018,Test # 2322
42,WB Phillips,159,-,159,,Australia,v Pakistan,Perth,11 Nov 1983,Test # 966
43,L Vincent,104,54,158,,New Zealand,v Australia,Perth,30 Nov 2001,Test # 1573
44,KJ O'Brien,40,118,158,,Ireland,v Pakistan,Dublin (Malahide),11 May 2018,Test # 2303
45,NS Harford,93,64,157,,New Zealand,v Pakistan,Lahore,26 Oct 1955,Test # 414
46,L Amarnath,38,118,156,,India,v England,Mumbai,15 Dec 1933,Test # 230
47,KD Walters,155,-,155,,Australia,v England,Brisbane,10 Dec 1965,Test # 597
48,PE Richardson,81,73,154,,England,v Australia,Nottingham,7 Jun 1956,Test # 425
49,PF Warner,21,132*,153,,England,v South Africa,Johannesburg,14 Feb 1899,Test # 58
50,CC Hunte,142,11*,153,,West Indies,v Pakistan,Bridgetown,17 Jan 1958,Test # 446
51,Aminul Islam,145,6,151,,Bangladesh,v India,Dhaka,10 Nov 2000,Test # 1512
52,FI de Caires,80,70,150,,West Indies,v England,Bridgetown,11 Jan 1930,Test # 187
