,Runs,Player,Bowler,Match,Location,Season
0,35,JJ Bumrah (4w4nb644461),SCJ Broad,India v England,Birmingham,2022
1,28,BC Lara (466444),RJ Peterson,West Indies v South Africa,Johannesburg,2003-04
2,28,GJ Bailey (462466),JM Anderson,Australia v England,Perth,2013-14
3,28,KA Maharaj (44466b4),JE Root,South Africa v England,Port Elizabeth,2019-20
4,27,Shahid Afridi (666621),Harbhajan Singh,Pakistan v India,Lahore,2005-06
5,26,CD McMillan (444464),Younis Khan,New Zealand v Pakistan,Hamilton,2000-01
6,26,BC Lara (406664),Danish Kaneria,West Indies v Pakistan,Multan,2006-07
7,26,MG Johnson (446066),PL Harris,Australia v South Africa,Johannesburg,2008-09
8,26,BB McCullum (466046),RAS Lakmal,New Zealand v Sri Lanka,Christchurch,2014-15
9,26,HH Pandya (446660),PM Pushpakumara,India v Sri Lanka,Pallekele,2017
10,25,AME Roberts (46266L),IT Botham,West Indies v England,Port-of-Spain,1980-81
11,25,B Sutcliffe (66061) & RW Blair(600),HJ Tayfield,New Zealand v South Africa,Johannesburg,1953-54
12,25,NJ Astle (666L0) & CL Cairns (41),AR Caddick,New Zealand v England,Christchurch,2001-02
13,25,RR Sarwan (44444nb40),MM Patel,West Indies v India,Basseterre,2006
14,25,AB de Villiers (66661w),AB McDonald,South Africa v Australia,Cape Town,2008-09
15,25,LRPL Taylor (.nb41666) & JS Patel (1),NM Hauritz,New Zealand v Australia,Hamilton,2009-10
