,Player,,Team,Opposition,Ground,Match Date,Scorecard
0,GF Grace,,England,v Australia,The Oval,6 Sep 1880,Test # 4
1,CS Wimble,,South Africa,v England,Cape Town,19 Mar 1892,Test # 37
2,JT Willoughby,,South Africa,v England,Gqeberha,13 Feb 1896,Test # 47
3,JJ Kotze,,South Africa,v Australia,Johannesburg,18 Oct 1902,Test # 76
4,PS Twentyman-Jones,,South Africa,v Australia,Cape Town,8 Nov 1902,Test # 77
5,TA Ward,,South Africa,v Australia,Manchester,27 May 1912,Test # 121
6,PT Lewis,,South Africa,v England,Durban,13 Dec 1913,Test # 130
7,CD Dixon,,South Africa,v England,Johannesburg,1 Jan 1914,Test # 132
8,FT Badcock,,New Zealand,v England,Christchurch,10 Jan 1930,Test # 186
9,KC James,,New Zealand,v England,Christchurch,10 Jan 1930,Test # 186
10,CIJ Smith,,England,v West Indies,Bridgetown,8 Jan 1935,Test # 238
11,LA Butterfield,,New Zealand,v Australia,Wellington,29 Mar 1946,Test # 275
12,CG Rowe,,New Zealand,v Australia,Wellington,29 Mar 1946,Test # 275
13,CN McCarthy,,South Africa,v England,Durban,16 Dec 1948,Test # 306
14,AL Valentine,,West Indies,v England,Manchester,8 Jun 1950,Test # 323
15,GS Ramchand,,India,v England,Leeds,5 Jun 1952,Test # 351
16,GA Gooch,,England,v Australia,Birmingham,10 Jul 1975,Test # 760
17,BP Bracewell,,New Zealand,v England,The Oval,27 Jul 1978,Test # 828
18,MR Whitney,,Australia,v England,Manchester,13 Aug 1981,Test # 907
19,Maninder Singh,,India,v Pakistan,Karachi,23 Dec 1982,Test # 942
20,KR Rutherford,,New Zealand,v West Indies,Port of Spain,29 Mar 1985,Test # 1013
21,CM Kuggeleijn,,New Zealand,v India,Bengaluru,12 Nov 1988,Test # 1107
22,RGM Patel,,India,v New Zealand,Wankhede,24 Nov 1988,Test # 1109
23,MS Atapattu,,Sri Lanka,v India,Chandigarh,23 Nov 1990,Test # 1156
24,Saeed Anwar,,Pakistan,v West Indies,Faisalabad,23 Nov 1990,Test # 1157
25,AA Donald,,South Africa,v West Indies,Bridgetown,18 Apr 1992,Test # 1188
26,SG Peall,,Zimbabwe,v Pakistan,Karachi,1 Dec 1993,Test # 1237
27,PE McIntyre,,Australia,v England,Adelaide,26 Jan 1995,Test # 1284
28,DP Viljoen,,Zimbabwe,v Pakistan,Bulawayo,14 Mar 1998,Test # 1408
29,GM Hamilton,,England,v South Africa,Johannesburg,25 Nov 1999,Test # 1471
30,JEC Franklin,,New Zealand,v Pakistan,Auckland,8 Mar 2001,Test # 1533
31,Alamgir Kabir,,Bangladesh,v Sri Lanka,Colombo (PSS),21 Jul 2002,Test # 1609
32,KHRK Fernando,,Sri Lanka,v South Africa,Johannesburg,8 Nov 2002,Test # 1624
33,SL Malinga,,Sri Lanka,v Australia,Darwin,1 Jul 2004,Test # 1705
34,LPC Silva,,Sri Lanka,v New Zealand,Christchurch,7 Dec 2006,Test # 1820
35,CT Tremlett,,England,v India,Lord's,19 Jul 2007,Test # 1840
36,MR Gillespie,,New Zealand,v South Africa,Centurion,16 Nov 2007,Test # 1848
37,D Elgar,,South Africa,v Australia,Perth,30 Nov 2012,Test # 2064
38,N M'shangwe,,Zimbabwe,v Bangladesh,Khulna,3 Nov 2014,Test # 2143
39,R Chandrika,,West Indies,v Australia,Kingston,11 Jun 2015,Test # 2166
40,AS Joseph,,West Indies,v India,Gros Islet,9 Aug 2016,Test # 2215
41,Kamrul Islam Rabbi,,Bangladesh,v England,Chattogram,20 Oct 2016,Test # 2225
42,CJ Sayers,,Australia,v South Africa,Johannesburg,30 Mar 2018,Test # 2302
43,A Balbirnie,,Ireland,v Pakistan,Dublin (Malahide),11 May 2018,Test # 2303
44,Abdul Malik,,Afghanistan,v Zimbabwe,Abu Dhabi,2 Mar 2021,Test # 2413
