,Player,Dismissal,Runs,,Team,Opposition,Ground,Match Date,Scorecard
0,L Hutton,obstructing the field,27,,England,v South Africa,The Oval,16 Aug 1951,Test # 338
1,WR Endean,handled the ball,3,,South Africa,v England,Cape Town,1 Jan 1957,Test # 435
2,AMJ Hilditch,handled the ball,29,,Australia,v Pakistan,Perth,24 Mar 1979,Test # 850
3,Mohsin Khan,handled the ball,58,,Pakistan,v Australia,Karachi,22 Sep 1982,Test # 935
4,DL Haynes,handled the ball,55,,West Indies,v India,Wankhede,24 Nov 1983,Test # 968
5,GA Gooch,handled the ball,133,,England,v Australia,Manchester,3 Jun 1993,Test # 1223
6,SR Waugh,handled the ball,47,,Australia,v India,Chennai,18 Mar 2001,Test # 1539
7,MS Atapattu,retired out,201,,Sri Lanka,v Bangladesh,Colombo (SSC),6 Sep 2001,Test # 1561
8,DPMD Jayawardene,retired out,150,,Sri Lanka,v Bangladesh,Colombo (SSC),6 Sep 2001,Test # 1561
9,MP Vaughan,handled the ball,64,,England,v India,Bengaluru,19 Dec 2001,Test # 1578
